127.0.0.1 - - [09/Feb/2022:12:55:46 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-01 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:55:47 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-01 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:55:48 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-01 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:56:20 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-01 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:56:37 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:58:09 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:12:58:10 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:00:18 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-09 HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:00:59 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-01 HTTP/1.1" 200 144 "-" "PostmanRuntime/7.28.4"
127.0.0.1 - - [09/Feb/2022:13:01:22 +0000] "GET /api/v0/stadiums/available-stadiums?date=2022-02-20 HTTP/1.1" 200 10 "-" "PostmanRuntime/7.28.4"
